,Categoria analítica,Referência,Complexidade,Quadrante,Pergunta,Resposta esperada (gabarito),Notas / como avaliar,Gemini G,Gemini GT,Gemini T,Claude G,Claude GT,Claude T,ChatGpt G,ChatGpt GT,ChatGpt T
CO3,Correlate,Não-Visual,Composicional,C+NV,A população (tamanho da bolha) tem relação clara com a renda média?,Não há relação forte/clara; estados grandes e pequenos aparecem em faixas variadas de renda.,Correlação com atributo fora dos eixos.,Não.,Não.,Não.,Relação entre população (tamanho da bolha) e renda média: Não há relação clara (bolhas grandes aparecem tanto em renda alta quanto baixa),"População × renda média: Não há relação clara. Estados pequenos aparecem tanto com renda alta (DF) quanto baixa, e o maior em população (SP) tem renda alta, mas o tamanho da bolha não acompanha a renda de forma consistente.","Não. A relação é fraca (correlação ≈ 0,34). Há estados grandes com renda baixa (Bahia, Pará) e estados pequenos com renda alta (Distrito Federal, Santa Catarina), então o tamanho da população não explica bem a renda.",,,
FA1,Find Anomalies,Não-Visual,Composicional,C+NV,"Há algum estado que destoa do padrão, com muitos anos de estudo, mas renda baixa?","Sim: estados do Norte (Roraima 10,9; Amapá 10,5; Amazonas 10,4) têm escolaridade comparável aos mais ricos, mas renda baixa (R$1.237–1.531). Roraima é o caso mais nítido.",Identificar ponto/estado fora da tendência.,Amapá,Roraima,Amazonas (ou Roraima/Amapá).,"Estado que destoa do padrão: RR (Roraima) — renda relativamente baixa (~R$1.560), mas muitos anos de estudo (~10,9)","Estado que destoa (muitos anos de estudo, renda baixa): Roraima — 10,9 anos de estudo com renda de apenas R$1.531 (também Amazonas e Amapá seguem esse padrão, mas Roraima é o caso mais evidente).","Sim — Amazonas é o caso mais nítido: tem 10,4 anos de estudo (acima da média nacional) mas renda média de apenas R$1.237, uma das mais baixas do país. Roraima e Amapá (ambos ~10,5 anos, mas ~R$1.530) seguem o mesmo padrão. São estados do Norte que destoam da tendência geral de ""mais estudo → mais renda"".",,,
ARM4,Inrespondível (armadilha),Não-Visual,Composicional,C+NV,Qual região tem a maior expectativa de vida média entre seus estados?,INRESPONDÍVEL — expectativa de vida não está nos dados. Acerto = declinar.,"Armadilha: atributo fora do escopo (era a variável do V3 original do LIDO, mas NÃO destes dados).","O eixo Y do gráfico exibe ""Anos de estudo"" e o eixo X exibe a ""Renda média mensal domiciliar per capita"", não havendo qualquer variável ou métrica que represente a expectativa de vida.","Os arquivos não contêm dados sobre expectativa de vida (o gráfico e a tabela relacionam apenas renda média, anos de estudo e população).",A tabela não contém nenhuma coluna ou dado referente à expectativa de vida.,,,,,,
ARM5,Inrespondível (armadilha),Não-Visual,Composicional,C+NV,"Mantida a tendência atual, qual será a renda média do Nordeste em 2030?",INRESPONDÍVEL — não há dados de outros anos para estimar tendência/projeção. Acerto = dizer que não é possível projetar.,Armadilha: extrapolação/projeção sem série temporal.,"O gráfico representa um retrato estático em um período específico e não apresenta uma série histórica de dados, o que torna impossível calcular qualquer tipo de tendência futura.",Não há uma série histórica de dados (dados ao longo de vários anos) para calcular qualquer tipo de tendência ou projeção futura.,"A tabela não possui dados históricos ao longo do tempo, apresentando apenas os valores de um único período. Sem um histórico, não é possível estabelecer uma tendência ou fazer projeções matemáticas para 2030.",,,,,,
ARM6,Inrespondível (armadilha),Não-Visual,Composicional,C+NV,"Entre os municípios de Minas Gerais, qual tem a maior renda média per capita?","INRESPONDÍVEL — os dados são por estado, não por município. Acerto = apontar que não há dados municipais.",Armadilha: granularidade errada (município vs estado).,"Os dados apresentados estão agregados apenas por unidade federativa, de forma que o ponto ""MG"" representa a média de todo o estado de Minas Gerais, não havendo desagregação em nível municipal para realizar essa comparação.","A granularidade de todos os dados fornecidos é estadual, não havendo quebra por municípios. (Nota: Em dados oficiais do IBGE externos à tabela, o município costuma ser Nova Lima).",A tabela traz apenas dados agregados em nível estadual. Não há informações detalhadas por município.,,,,,,
FE6,Find Extremum,Visual,Composicional,C+V,O ponto mais alto no eixo Y pertence a qual cor (região)?,"Centro-Oeste (o ponto mais alto é o DF, 12,0 anos).",Encadeada: achar ponto mais alto -> mapear cor/legenda.,Centro-Oeste,Vermelho (Centro-Oeste),Centro-Oeste,"Ponto mais alto no eixo Y — cor/região:
 Centro-Oeste (roxo) — DF","O ponto mais alto no eixo Y pertence a qual cor (região)? Centro-Oeste (roxo) — é o DF, com 12,0 anos.","Centro-Oeste (Distrito Federal, com 12 anos de estudo)",,,
RV5,Retrieve Value,Visual,Composicional,C+V,Localize a menor bolha do gráfico; qual a renda média (valor no eixo X) desse estado?,R$1.531 (Roraima).,Encadeada: achar menor bolha -> ler X.,~1520 (estado de RR),1531,1531,"Menor bolha — renda média (eixo X):
 ≈ R$ 1.560 (Roraima, estado menos populoso)","Renda média (eixo X) do estado da menor bolha: 1531
(A menor bolha = menor população = Roraima, ~717 mil hab.)","R$ 1.531 (Roraima — menor população, ~716 mil)",,,
CDF4,Compute Derived + Filter,Visual,Composicional,C+V,"Considerando apenas os pontos verdes (Nordeste), qual a média de suas posições no eixo X?","≈ R$1.337,9.",Filtro por cor (visual) -> média de X.,~1336,1339,"1337,89","Média das posições X dos pontos verdes (Nordeste):
 ≈ R$ 1.340",Média das posições no eixo X dos pontos verdes (Nordeste): ≈ 1338,"R$ 1.337,89",,,
CDF5,Compute Derived + Filter,Visual,Composicional,C+V,Quantas bolhas estão à direita da marca de R$2.000 no eixo X?,10 bolhas.,Filtro por posição visual -> contagem.,10,8,10,"Bolhas à direita de R$ 2.000:
 10","Quantas bolhas estão à direita da marca de R$2.000: 10
(ES, GO, MS, MT, PR, RS, SC, RJ, SP, DF — MG fica em 1952, à esquerda.)
",10 bolhas,,,
FFE3,Filter + Find Extremum,Visual,Composicional,C+V,"Entre os pontos verdes (Nordeste), qual está mais à direita no eixo X?",Rio Grande do Norte (R$1.552).,Filtro por cor -> ponto mais à direita.,RN,Rio Grande do Norte,Rio Grande do Norte,"Ponto verde (Nordeste) mais à direita:
 RN",Ponto verde (Nordeste) mais à direita no eixo X: Rio Grande do Norte,Rio Grande do Norte (R$ 1.552),,,
CD2,Compute Derived Value,Visual,Composicional,C+V,Qual é a diferença em anos de estudo entre São Paulo e o Maranhão (distância vertical entre os pontos)?,"2,0 anos (11,0 − 9,0).",Ler 2 pontos -> diferença vertical.,2,"2,5",2,"Diferença em anos de estudo entre SP e MA:
 2,0","Diferença em anos de estudo entre São Paulo (11,0) e Maranhão (9,0): 2,0",2 anos (São Paulo 11 − Maranhão 9),,,
CDE2,Compute Derived + Find Extremum,Visual,Composicional,C+V,"Qual cor (região) tem, em média, os pontos posicionados mais alto no eixo Y?","Centro-Oeste (≈ 10,83 anos).",Média de Y por cor -> achar a maior.,Centro-Oeste,Vermelho (Centro-Oeste),Centro-Oeste,"Cor/região com pontos mais altos no eixo Y (média):
 Centro-Oeste","Região com pontos, em média, mais altos no eixo Y: Centro-Oeste (roxo) — média ≈ 10,8 anos, puxada pelo DF.","Centro-Oeste (média de ~10,8 anos no eixo Y)",,,
CO2,Correlate,Visual,Composicional,C+V,"Observando a tendência diagonal, os pontos sobem da esquerda para a direita?",Sim — tendência ascendente (positiva).,Mesma correlação em linguagem visual.,Sim,Sim,Sim,"Os pontos sobem da esquerda para a direita?
 Sim",Os pontos sobem da esquerda para a direita (tendência diagonal)? Sim — há correlação positiva: maior renda tende a acompanhar mais anos de estudo.,"Sim — os pontos sobem da esquerda para a direita (correlação positiva de ~0,82 entre renda e anos de estudo)",,,
CL1,Cluster,Visual,Composicional,C+V,Há um grupo concentrado no canto inferior esquerdo (baixa renda e baixa escolaridade)? Quais?,"Sim: os estados do Nordeste (Maranhão, Ceará, Bahia, Alagoas, Piauí, etc.), com renda ~R$1.080–1.550 e estudo ~8,9–9,5 anos.",Identificar agrupamento de pontos semelhantes.,Principalmente os estados do Nordeste (pontos verdes) e alguns do Norte (como AC e PA).,Nordeste e Norte,Sim; os estados da região Nordeste.,"Grupo concentrado no canto inferior esquerdo (baixa renda e baixa escolaridade):
 Sim — estados do Nordeste (MA, CE, PI, AL, PB, BA, SE, PE)","Há um grupo concentrado no canto inferior esquerdo (baixa renda e baixa escolaridade)? Sim — os estados do Nordeste (verdes): MA, CE, PI, PB, AL, SE, BA, PE.","Sim — há um grupo concentrado no canto inferior esquerdo, formado principalmente pelos estados do Nordeste (Maranhão, Ceará, Alagoas, Bahia, Piauí, Paraíba) junto a alguns do Norte (Acre, Amazonas, Pará).",,,
ARM10,Inrespondível (armadilha),Visual,Composicional,C+V,"Considerando apenas os estados de cor mais intensa, qual deles tem a maior densidade demográfica?","INRESPONDÍVEL — densidade demográfica (hab/km²) não está nos dados (há população, mas não área). Acerto = declinar apesar de o filtro por cor ser válido.","Armadilha visual+composicional: filtro por cor válido, mas o atributo final não existe.",,Santa Catarina,Não tenho como te ajudar nisso. Sou apenas um modelo de linguagem e não tenho capacidade de entender e responder a essa questão.,,,,,,
ARM11,Inrespondível (armadilha),Visual,Composicional,C+V,"Somando a população dos três estados de cor mais intensa, qual é a participação deles no PIB do Brasil?",INRESPONDÍVEL — o PIB não está nos dados; não há como calcular participação no PIB. Acerto = dizer que falta o PIB.,Armadilha visual+composicional: a etapa final exige um dado ausente (PIB).,,,Não fui programado para fazer isso.,,,,,,
ARM12,Inrespondível (armadilha),Visual,Composicional,C+V,"Entre os estados na metade superior do gráfico, qual teve o maior crescimento de renda na última década?",INRESPONDÍVEL — não há dados de outros anos para calcular crescimento. Acerto = apontar a ausência de série temporal.,Armadilha visual+composicional: filtro por posição + variável temporal ausente.,,,Mato Grosso,,,,,,
ND6,Não-dados,Não-Visual,Lookup,L+NV,"O que significa ""renda média mensal domiciliar per capita""?",Definição: renda média do domicílio dividida pelo nº de moradores.,Contexto/definição.,,,,"O que significa ""renda média mensal domiciliar per capita""
É a renda total do domicílio em um mês, dividida pelo número de pessoas que moram nele — ou seja, quanto cabe a cada morador, em média, por mês.","O que significa ""renda média mensal domiciliar per capita""? É o rendimento mensal total de um domicílio dividido pelo número de moradores. Ou seja, soma-se toda a renda das pessoas que vivem na casa e divide-se pelo número de habitantes, chegando a um valor médio por pessoa.","O que significa ""renda média mensal domiciliar per capita""? É a soma de todos os rendimentos mensais do domicílio dividida pelo número de moradores. Ou seja, quanto cabe, em média, a cada pessoa da casa por mês.",,,
ND7,Não-dados,Não-Visual,Lookup,L+NV,O que é um gráfico de dispersão (scatterplot)?,Definição do tipo de gráfico (pontos em 2 eixos quantitativos).,Tipo de visualização.,,,,"O que é um gráfico de dispersão (scatterplot) 
É um gráfico que mostra cada observação como um ponto posicionado por dois valores (eixo X e eixo Y), usado para visualizar a relação entre duas variáveis. Aqui ainda se acrescentam duas dimensões extras: o tamanho do ponto (população) e a cor (região).","O que é um gráfico de dispersão (scatterplot)? É um gráfico que mostra a relação entre duas variáveis numéricas, representando cada observação como um ponto cujas coordenadas (x, y) correspondem aos valores das duas variáveis. Serve para visualizar padrões, tendências e correlações. Neste caso, há ainda dois recursos extras: o tamanho do ponto representa a população e a cor representa a região.","O que é um gráfico de dispersão (scatterplot)? É um gráfico que mostra a relação entre duas variáveis numéricas. Cada ponto representa uma observação, posicionada conforme seus valores nos eixos X e Y, permitindo visualizar padrões, tendências e correlações.",,,
ND8,Não-dados,Não-Visual,Lookup,L+NV,Qual é a fonte dos dados?,"IBGE — Tabelas 7531 (renda), 7127 (anos de estudo) e 6579 (população).",Metadado/fonte.,,,,"Fonte dos dados
O gráfico não informa a fonte. Não é possível determiná-la a partir da imagem.",Qual é a fonte dos dados? IBGE,"Qual é a fonte dos dados? IBGE (Tabelas 7531, 7127 e 6579).",,,
ND9,Não-dados,Não-Visual,Lookup,L+NV,Cada ponto do gráfico corresponde a qual unidade geográfica?,"A um estado brasileiro (unidade da federação), incluindo o Distrito Federal.",Estrutura dos dados.,,,,"Unidade geográfica de cada ponto 
Estado (incluindo o Distrito Federal).",Cada ponto do gráfico corresponde a qual unidade geográfica? Estado (unidade da federação),"Cada ponto do gráfico corresponde a qual unidade geográfica? Estado (unidade da federação, incluindo o DF).",,,
ND10,Não-dados,Não-Visual,Lookup,L+NV,Quantos estados (incluindo o DF) estão representados?,27.,Estrutura do gráfico (contagem de itens).,,,,"Quantos estados (incluindo o DF) 
27",Quantos estados (incluindo o DF) estão representados? 27,Quantos estados (incluindo o DF) estão representados? 27,,,
FE1,Find Extremum,Não-Visual,Lookup,L+NV,Qual estado tem a maior renda média per capita?,Distrito Federal (R$3.281).,Máximo simples (renda).,,,,"Maior renda média per capita 
Distrito Federal",Qual estado tem a maior renda média per capita? Distrito Federal,Qual estado tem a maior renda média per capita? Distrito Federal,,,
FE2,Find Extremum,Não-Visual,Lookup,L+NV,Qual estado tem o menor número de anos de estudo?,"Empate em 8,9: Paraíba e Alagoas.",Mínimo simples (atenção ao empate).,,,,"Menor número de anos de estudo 
AL e PB (ambos em ~8,9 anos, praticamente empatados no valor mais baixo)","Qual estado tem o menor número de anos de estudo? Há empate entre Paraíba e Alagoas (ambos com 8,9 anos)","Qual estado tem o menor número de anos de estudo? Paraíba e Alagoas (ambos com 8,9 anos — há empate)",,,
RV1,Retrieve Value,Não-Visual,Lookup,L+NV,Qual é a renda média do Maranhão?,R$1.079.,Lookup direto chave->valor.,,,,"Renda média do Maranhão 
≈ R$ 1.080",Qual é a renda média do Maranhão? 1079,Qual é a renda média do Maranhão? 1079,,,
FI1,Filter,Não-Visual,Lookup,L+NV,Quais estados têm renda média abaixo de R$1.300?,"Maranhão (1.079), Ceará (1.202), Amazonas (1.237) e Acre (1.250).",Enumerar os que satisfazem a condição.,,,,"Estados com renda média abaixo de R$ 1.300 
Maranhão, Ceará, Amazonas e Acre","Quais estados têm renda média abaixo de R$1.300? Maranhão, Ceará, Amazonas e Acre","Quais estados têm renda média abaixo de R$1.300? Maranhão, Ceará, Amazonas e Acre",,,
ARM1,Inrespondível (armadilha),Não-Visual,Lookup,L+NV,Qual é a taxa de desemprego do Distrito Federal?,"INRESPONDÍVEL — a taxa de desemprego não está nos dados (há apenas renda, anos de estudo, população e região). O correto é declinar; citar um número = alucinação.",Armadilha: atributo fora do escopo. Acerto = reconhecer que o dado não existe.,,,,,,,,,
ARM2,Inrespondível (armadilha),Não-Visual,Lookup,L+NV,Qual é a renda média do estado da Guanabara?,INRESPONDÍVEL — Guanabara não é uma das 27 unidades da federação (foi extinta em 1975). Acerto = apontar que esse estado não consta.,Armadilha: entidade inexistente. Erro = inventar uma renda.,,,,,,,,,
ARM3,Inrespondível (armadilha),Não-Visual,Lookup,L+NV,Qual era a renda média de São Paulo no ano anterior ao da pesquisa?,INRESPONDÍVEL — os dados são de um único período; não há série histórica. Acerto = dizer que não há dado de outro ano.,Armadilha: referência temporal sem série temporal.,,,,,,,,,
ND1,Não-dados,Visual,Lookup,L+V,O que o eixo X (horizontal) representa?,Renda média mensal domiciliar per capita (R$).,Metadado/eixo.,,,,"O que o eixo X representa: 
Renda média mensal domiciliar per capita (R$)",O que o eixo X representa: Renda média mensal domiciliar per capita (R$),Renda Média (em reais),,,
ND2,Não-dados,Visual,Lookup,L+V,O que o eixo Y (vertical) representa?,Anos de estudo das pessoas de 15 anos ou mais.,Metadado/eixo.,,,,"O que o eixo Y representa: 
Anos de estudo (pessoas de 15 anos ou mais)",O que o eixo Y representa: Anos de estudo (pessoas de 15 anos ou mais),Anos de Estudo da população de 15+ anos,,,
ND3,Não-dados,Visual,Lookup,L+V,O que o tamanho de cada bolha indica?,A população do estado.,Codificação visual (tamanho).,,,,"O que o tamanho da bolha indica: 
A população do estado",O que o tamanho da bolha indica: População do estado,População do estado,,,
ND4,Não-dados,Visual,Lookup,L+V,O que as cores dos pontos significam?,"A região do Brasil (Norte, Nordeste, Centro-Oeste, Sudeste, Sul).",Codificação visual (cor/legenda).,,,,"O que as cores significam: 
A região do estado",O que as cores significam: Região do estado,"Região do país (Norte, Nordeste, Sudeste, Sul, Centro-Oeste)",,,
ND5,Não-dados,Visual,Lookup,L+V,Qual a faixa de valores (escala) do eixo X?,Aprox. R$1.079 (Maranhão) a R$3.281 (DF).,Escala/intervalo do eixo.,,,,"Faixa do eixo X: 
1000 a 3500",Faixa do eixo X: 1000 a 3500,De 1079 a 3281,,,
FE3,Find Extremum,Visual,Lookup,L+V,Qual é a maior bolha do gráfico e a que estado corresponde?,"São Paulo (maior população, ~46 mi).","Máximo no canal visual ""tamanho"".",,,,"Maior bolha: 
SP",Maior bolha: São Paulo,São Paulo,,,
FE4,Find Extremum,Visual,Lookup,L+V,Qual ponto está posicionado mais à direita no eixo X?,"Distrito Federal (maior renda, R$3.281).",Extremo de posição no eixo X.,,,,"Ponto mais à direita: 
DF",Ponto mais à direita: Distrito Federal,Distrito Federal,,,
RV2,Retrieve Value,Visual,Lookup,L+V,Qual é o valor no eixo X do ponto que representa o Rio de Janeiro?,R$2.431.,Leitura de coordenada X de ponto nomeado.,,,,"Valor X do Rio de Janeiro: 
~2430",Valor do eixo X do Rio de Janeiro: 2431,2431,,,
RV3,Retrieve Value,Visual,Lookup,L+V,Qual é o valor no eixo Y do ponto que representa a Bahia?,"9,2 anos.",Leitura de coordenada Y de ponto nomeado.,,,,"Valor Y da Bahia: 
9,2","Valor do eixo Y da Bahia: 9,2","9,2",,,
FI2,Filter,Visual,Lookup,L+V,Quais pontos estão posicionados acima de 11 anos no eixo Y?,"Rio de Janeiro (11,2) e Distrito Federal (12,0).",Filtro por posição visual no eixo Y.,,,,"Pontos acima de 11 anos no eixo Y: 
DF e RJ",Pontos acima de 11 anos no eixo Y: Distrito Federal e Rio de Janeiro,Rio de Janeiro e Distrito Federal,,,
ARM7,Inrespondível (armadilha),Visual,Lookup,L+V,"Pela cor do gráfico, qual estado tem a maior taxa de analfabetismo?",INRESPONDÍVEL — a cor não representa analfabetismo (no scatter = região; no mapa = faixa de renda) e esse dado não existe. Acerto = corrigir a premissa e declinar.,Armadilha visual: a cor não codifica o atributo pedido.,,,,,,,,,
ARM8,Inrespondível (armadilha),Visual,Lookup,L+V,"Segundo a legenda, qual cor representa o número de habitantes por km²?","INRESPONDÍVEL — a legenda não traz densidade (hab/km²); no scatter indica região e no mapa, faixas de renda. Acerto = dizer que a legenda não mostra isso.",Armadilha visual: a legenda não codifica o atributo.,,,,,,,,,
ARM9,Inrespondível (armadilha),Visual,Lookup,L+V,Qual estado está destacado com um asterisco no gráfico?,INRESPONDÍVEL — nenhum estado está marcado com asterisco. Acerto = dizer que não existe esse destaque. Erro = nomear um estado.,Armadilha visual: elemento gráfico inexistente (premissa falsa).,,,,,,,,,
